old_locus_tag	level1	level2	level3	level4	level5	level6
SYNPCC7002_A0616	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A2383	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0155	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A2298	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0044	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1816	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1293	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1579	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0980	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1737	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A2647	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1468	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A2255	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0237	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0531	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A2103	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A2045	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A2043	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A2044	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1042	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0614	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1287	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0178	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A2581	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0649	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1408	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A2384	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1263	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1567	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1256	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1704	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0119	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1620	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0426	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1270	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1390	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0630	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0840	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0365	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A2627	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A2342	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0978	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A2277	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1856	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_C0005	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0757	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1744	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0451	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_D0019	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1777	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_F0054	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0826	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1938	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1343	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A2546	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1965	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1005	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1900	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1849	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1236	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A1350	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0382	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03400 DNA repair and recombination proteins [BR:syp03400]		
SYNPCC7002_A0755	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A2702	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A1958	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A2061	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A2062	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A2079	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A0341	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A0520	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A2058	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A1609	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A1694	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A0422	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A0599	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A1025	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A2536	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A1565	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_E0025	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A0119	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A0318	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A0694	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A2160	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A2418	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A0695	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A0147	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A2458	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A2457	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A0693	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A1738	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A0787	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A0921	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A0545	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A0914	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A1160	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A1161	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A0991	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A2606	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A1902	KEGG Orthology (KO)	09180 Brite Hierarchies	09182 Protein families: genetic information processing	03029 Mitochondrial biogenesis [BR:syp03029]		
SYNPCC7002_A1505	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2789	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0712	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_G0069	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1448	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0821	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2189	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_G0100	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0626	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0795	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0797	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0798	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0799	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1370	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2088	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0860	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_G0015	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1171	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0861	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_G0016	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_G0014	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0862	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2507	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_G0113	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1381	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_G0114	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0871	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_G0115	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0313	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1748	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1749	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2039	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2554	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2038	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2037	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2036	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0500	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0133	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1255	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1967	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2720	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1371	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2382	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2721	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1364	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2284	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2285	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2286	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1895	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_G0143	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0336	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0759	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_G0142	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0713	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_G0141	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1837	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2099	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2098	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1996	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1995	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2201	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2091	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2566	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1436	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2822	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0398	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0397	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0396	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0395	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1627	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2179	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0338	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2019	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0393	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0445	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2550	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A2148	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0825	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A1455	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
SYNPCC7002_A0919	KEGG Orthology (KO)	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	02000 Transporters [BR:syp02000]		
