Transcription-Units	Genes of transcription unit
TU220F-54	SYNPCC7002_RS15125 // SYNPCC7002_RS15120
TU220F-1151	SYNPCC7002_RS08095
TU220F-2179	SYNPCC7002_RS12655
TU220F-1203	SYNPCC7002_RS08460
TU220F-247	SYNPCC7002_RS01195
TU220F-1395	SYNPCC7002_RS09945
TU220F-841	SYNPCC7002_RS05690
TU220F-2154	SYNPCC7002_RS13450
TU220F-91	SYNPCC7002_RS00070 // SYNPCC7002_RS16035 // SYNPCC7002_RS00060
TU220F-163	SYNPCC7002_RS00570
TU220F-375	SYNPCC7002_RS02230
TU220F-1026	SYNPCC7002_RS07080
TU220F-1602	SYNPCC7002_RS11550 // SYNPCC7002_RS11545
TU220F-42	SYNPCC7002_RS15025
TU220F-1330	SYNPCC7002_RS09505
TU220F-2337	SYNPCC7002_RS07155
TU220F-369	SYNPCC7002_RS02160
TU220F-356	SYNPCC7002_RS02060 // SYNPCC7002_RS02055
TU220F-1740	SYNPCC7002_RS12595
TU220F-857	SYNPCC7002_RS05825
TU220F-443	SYNPCC7002_RS02735
TU220F-767	SYNPCC7002_RS05155
TU220F-129	SYNPCC7002_RS00335
TU220F-1088	SYNPCC7002_RS07570 // SYNPCC7002_RS07565 // SYNPCC7002_RS16125
TU220F-2294	SYNPCC7002_RS08585
TU220F-121	SYNPCC7002_RS00265
TU220F-1249	SYNPCC7002_RS08840 // SYNPCC7002_RS08835 // SYNPCC7002_RS08830
TU220F-919	SYNPCC7002_RS06325
TU220F-485	SYNPCC7002_RS02995
TU220F-2239	SYNPCC7002_RS10700
TU220F-1855	SYNPCC7002_RS13385
TU220F-1486	SYNPCC7002_RS10650
TU220F-1639	SYNPCC7002_RS11875
TU220F-364	SYNPCC7002_RS02120
TU220F-955	SYNPCC7002_RS06555
TU220F-24	SYNPCC7002_RS14880
TU220F-921	SYNPCC7002_RS06335
TU220F-450	SYNPCC7002_RS02785
TU220F-1119	SYNPCC7002_RS07890
TU220F-2523	SYNPCC7002_RS16540
TU220F-2440	SYNPCC7002_RS04160
TU220F-511	SYNPCC7002_RS03185
TU220F-1267	SYNPCC7002_RS08995
TU220F-1051	SYNPCC7002_RS07330 // SYNPCC7002_RS07325
TU220F-1799	SYNPCC7002_RS12990
TU220F-1065	SYNPCC7002_RS16115
TU220F-425	SYNPCC7002_RS02630
TU220F-32	SYNPCC7002_RS14955 // SYNPCC7002_RS14950 // SYNPCC7002_RS14945
TU220F-1789	SYNPCC7002_RS12930
TU220F-1143	SYNPCC7002_RS08045
TU220F-1648	SYNPCC7002_RS11940
TU220F-296	SYNPCC7002_RS01560 // SYNPCC7002_RS01555
TU220F-1221	SYNPCC7002_RS08600
TU220F-705	SYNPCC7002_RS04650
TU220F-2100	SYNPCC7002_RS14585 // SYNPCC7002_RS14580
TU220F-1167	SYNPCC7002_RS08235
TU220F-739	SYNPCC7002_RS04940 // SYNPCC7002_RS04935
TU220F-1749	SYNPCC7002_RS12660
TU220F-926	SYNPCC7002_RS06370
TU220F-34	SYNPCC7002_RS14980 // SYNPCC7002_RS14975 // SYNPCC7002_RS14970
TU220F-2033	SYNPCC7002_RS16290
TU220F-900	SYNPCC7002_RS06180 // SYNPCC7002_RS06175
TU220F-2470	SYNPCC7002_RS02570
TU220F-1040	SYNPCC7002_RS07210 // SYNPCC7002_RS07205 // SYNPCC7002_RS07200
TU220F-893	SYNPCC7002_RS06125
TU220F-1545	SYNPCC7002_RS11090
TU220F-716	SYNPCC7002_RS04745
TU220F-77	SYNPCC7002_RS14435
TU220F-256	SYNPCC7002_RS01245
TU220F-23	SYNPCC7002_RS14875 // SYNPCC7002_RS14870
TU220F-680	SYNPCC7002_RS04465
TU220F-402	SYNPCC7002_RS02445
TU220F-1850	SYNPCC7002_RS16760
TU220F-1446	SYNPCC7002_RS10355 // SYNPCC7002_RS10350
TU220F-2221	SYNPCC7002_RS11320
TU220F-475	SYNPCC7002_RS02930 // SYNPCC7002_RS02925
TU220F-2322	SYNPCC7002_RS07705
TU220F-1500	SYNPCC7002_RS10775
TU220F-525	SYNPCC7002_RS03290
TU220F-1280	SYNPCC7002_RS09115 // SYNPCC7002_RS09110
TU220F-1626	SYNPCC7002_RS11795 // SYNPCC7002_RS11790 // SYNPCC7002_RS11785 // SYNPCC7002_RS11780 // SYNPCC7002_RS11775 // SYNPCC7002_RS11770 // SYNPCC7002_RS11765 // SYNPCC7002_RS11760
TU220F-1876	SYNPCC7002_RS13525
TU220F-2428	SYNPCC7002_RS04585
TU220F-2209	SYNPCC7002_RS11725
TU220F-207	SYNPCC7002_RS00915
TU220F-2396	SYNPCC7002_RS05625
TU220F-232	SYNPCC7002_RS01100
TU220F-1186	SYNPCC7002_RS08350
TU220F-1474	SYNPCC7002_RS10565
TU220F-2158	SYNPCC7002_RS13330
TU220F-2049	SYNPCC7002_RS15795
TU220F-771	SYNPCC7002_RS05195
TU220F-98	SYNPCC7002_RS00120
TU220F-620	SYNPCC7002_RS04045
TU220F-68	SYNPCC7002_RS14330
TU220F-2173	SYNPCC7002_RS12810
TU220F-591	SYNPCC7002_RS03805 // SYNPCC7002_RS03800
TU220F-2457	SYNPCC7002_RS03370
TU220F-2463	SYNPCC7002_RS03025
TU220F-750	SYNPCC7002_RS05015
TU220F-611	SYNPCC7002_RS03970
TU220F-44	SYNPCC7002_RS15040
TU220F-1523	SYNPCC7002_RS10950
TU220F-1305	SYNPCC7002_RS09315
TU220F-1337	SYNPCC7002_RS09560
TU220F-484	SYNPCC7002_RS02990 // SYNPCC7002_RS02985
TU220F-2499	SYNPCC7002_RS01795
TU220F-1588	SYNPCC7002_RS11420
TU220F-861	SYNPCC7002_RS05865 // SYNPCC7002_RS05860 // SYNPCC7002_RS05855
TU220F-2195	SYNPCC7002_RS12340
TU220F-1161	SYNPCC7002_RS08200
TU220F-1940	SYNPCC7002_RS13970
TU220F-335	SYNPCC7002_RS01885
TU220F-1565	SYNPCC7002_RS11260
TU220F-2271	SYNPCC7002_RS09690
TU220F-339	SYNPCC7002_RS01910
TU220F-451	SYNPCC7002_RS02790
TU220F-1902	SYNPCC7002_RS13720
TU220F-1179	SYNPCC7002_RS08305
TU220F-2372	SYNPCC7002_RS06270
TU220F-274	SYNPCC7002_RS01405
TU220F-2167	SYNPCC7002_RS13060
TU220F-1269	SYNPCC7002_RS09010
TU220F-2224	SYNPCC7002_RS11185
TU220F-349	SYNPCC7002_RS02005
TU220F-1921	SYNPCC7002_RS16235
TU220F-603	SYNPCC7002_RS03930 // SYNPCC7002_RS03925 // SYNPCC7002_RS03920
TU220F-2253	SYNPCC7002_RS10370
TU220F-1629	SYNPCC7002_RS11810
TU220F-993	SYNPCC7002_RS06840
TU220F-1365	SYNPCC7002_RS09750
TU220F-289	SYNPCC7002_RS01500
TU220F-1316	SYNPCC7002_RS16160 // SYNPCC7002_RS16695 // SYNPCC7002_RS09400
TU220F-2118	SYNPCC7002_RS14305 // SYNPCC7002_RS14300 // SYNPCC7002_RS14295 // SYNPCC7002_RS14290
TU220F-1933	SYNPCC7002_RS13915
TU220F-1949	SYNPCC7002_RS14030
TU220F-2403	SYNPCC7002_RS05375
TU220F-426	SYNPCC7002_RS02640
TU220F-1017	SYNPCC7002_RS07015
TU220F-2533	SYNPCC7002_RS00665
TU220F-659	SYNPCC7002_RS04315
TU220F-2341	SYNPCC7002_RS07090
TU220F-2073	SYNPCC7002_RS15975
TU220F-1240	SYNPCC7002_RS08765 // SYNPCC7002_RS08760
TU220F-970	SYNPCC7002_RS06680 // SYNPCC7002_RS06675
TU220F-738	SYNPCC7002_RS16410
TU220F-1791	SYNPCC7002_RS12940
TU220F-1751	SYNPCC7002_RS12670
TU220F-2353	SYNPCC7002_RS06810
TU220F-1092	SYNPCC7002_RS07620
TU220F-2509	SYNPCC7002_RS01585
TU220F-2236	SYNPCC7002_RS10770
TU220F-1168	SYNPCC7002_RS08240
TU220F-1819	SYNPCC7002_RS13140
TU220F-979	SYNPCC7002_RS06740
TU220F-1042	SYNPCC7002_RS07225
TU220F-1968	SYNPCC7002_RS16245
TU220F-2102	SYNPCC7002_RS16805
TU220F-1963	SYNPCC7002_RS14110 // SYNPCC7002_RS14105 // SYNPCC7002_RS14100
TU220F-220	SYNPCC7002_RS01025 // SYNPCC7002_RS01020
TU220F-79	SYNPCC7002_RS14445
TU220F-249	SYNPCC7002_RS16055
TU220F-679	SYNPCC7002_RS04460
TU220F-1394	SYNPCC7002_RS09940
TU220F-788	SYNPCC7002_RS05335
TU220F-2480	SYNPCC7002_RS02355
TU220F-1415	SYNPCC7002_RS10130
TU220F-1706	SYNPCC7002_RS12315 // SYNPCC7002_RS12310
TU220F-1815	SYNPCC7002_RS13120
TU220F-825	SYNPCC7002_RS05575
TU220F-276	SYNPCC7002_RS01415
TU220F-1946	SYNPCC7002_RS14005
TU220F-1717	SYNPCC7002_RS16200
TU220F-1131	SYNPCC7002_RS07965
TU220F-440	SYNPCC7002_RS02720
TU220F-157	SYNPCC7002_RS00540
TU220F-1138	SYNPCC7002_RS08010 // SYNPCC7002_RS08005
TU220F-342	SYNPCC7002_RS01935
TU220F-1508	SYNPCC7002_RS10830
TU220F-2097	SYNPCC7002_RS16560
TU220F-1457	SYNPCC7002_RS10425
TU220F-52	SYNPCC7002_RS16575
TU220F-1759	SYNPCC7002_RS12725
TU220F-1684	SYNPCC7002_RS12180
TU220F-2411	SYNPCC7002_RS05005
TU220F-2539	SYNPCC7002_RS00575
TU220F-802	SYNPCC7002_RS05440
TU220F-17	SYNPCC7002_RS14820 // SYNPCC7002_RS14815
TU220F-645	SYNPCC7002_RS04230
TU220F-2069	SYNPCC7002_RS15915 // SYNPCC7002_RS15910 // SYNPCC7002_RS15905
TU220F-102	SYNPCC7002_RS00155
TU220F-1769	SYNPCC7002_RS12805
TU220F-307	SYNPCC7002_RS01645 // SYNPCC7002_RS01640 // SYNPCC7002_RS01635
TU220F-1955	SYNPCC7002_RS14060
TU220F-2378	SYNPCC7002_RS06120
TU220F-1883	SYNPCC7002_RS13560
TU220F-464	SYNPCC7002_RS02870
TU220F-483	SYNPCC7002_RS02980
TU220F-1485	SYNPCC7002_RS10645
TU220F-2547	SYNPCC7002_RS00225
TU220F-287	SYNPCC7002_RS01490
TU220F-58	SYNPCC7002_RS15170
TU220F-1050	SYNPCC7002_RS07315
TU220F-1101	SYNPCC7002_RS07750 // SYNPCC7002_RS07745
TU220F-1577	SYNPCC7002_RS11355 // SYNPCC7002_RS11350 // SYNPCC7002_RS11345
TU220F-2439	SYNPCC7002_RS04165
TU220F-345	SYNPCC7002_RS01965 // SYNPCC7002_RS01960 // SYNPCC7002_RS01955
TU220F-125	SYNPCC7002_RS00300 // SYNPCC7002_RS00295
TU220F-1064	SYNPCC7002_RS07410
TU220F-222	SYNPCC7002_RS01040
TU220F-2081	SYNPCC7002_RS16020
TU220F-2361	SYNPCC7002_RS06450
TU220F-1344	SYNPCC7002_RS09610 // SYNPCC7002_RS09605
TU220F-1529	SYNPCC7002_RS10985 // SYNPCC7002_RS10980
TU220F-1315	SYNPCC7002_RS09395 // SYNPCC7002_RS16155
TU220F-1556	SYNPCC7002_RS11175
TU220F-902	SYNPCC7002_RS06190
TU220F-1158	SYNPCC7002_RS08140 // SYNPCC7002_RS08135
TU220F-1282	SYNPCC7002_RS09135 // SYNPCC7002_RS09130
TU220F-1647	SYNPCC7002_RS11935 // SYNPCC7002_RS11930
TU220F-1364	SYNPCC7002_RS09745
TU220F-539	SYNPCC7002_RS03410
TU220F-39	SYNPCC7002_RS15010
TU220F-1162	SYNPCC7002_RS08205
TU220F-1437	SYNPCC7002_RS10275
TU220F-1288	SYNPCC7002_RS09170
TU220F-2225	SYNPCC7002_RS11180
TU220F-819	SYNPCC7002_RS16095
TU220F-627	SYNPCC7002_RS04080
TU220F-737	SYNPCC7002_RS04925
TU220F-1558	SYNPCC7002_RS11200 // SYNPCC7002_RS11195
TU220F-2469	SYNPCC7002_RS02635
TU220F-133	SYNPCC7002_RS00360
TU220F-1669	SYNPCC7002_RS16725
TU220F-2211	SYNPCC7002_RS11650
TU220F-1964	SYNPCC7002_RS14115
TU220F-2557	SYNPCC7002_RS14690
TU220F-2313	SYNPCC7002_RS16685
TU220F-11	SYNPCC7002_RS14765 // SYNPCC7002_RS14760
TU220F-343	SYNPCC7002_RS01940
TU220F-721	SYNPCC7002_RS04780
TU220F-117	SYNPCC7002_RS00245
TU220F-46	SYNPCC7002_RS15050
TU220F-1875	SYNPCC7002_RS16230
TU220F-678	SYNPCC7002_RS04455
TU220F-239	SYNPCC7002_RS01140
TU220F-566	SYNPCC7002_RS03610
TU220F-1849	SYNPCC7002_RS13350
TU220F-1	SYNPCC7002_RS16585 // SYNPCC7002_RS15220 // SYNPCC7002_RS16580 // SYNPCC7002_RS15215
TU220F-999	SYNPCC7002_RS06875
TU220F-159	SYNPCC7002_RS00550
TU220F-1753	SYNPCC7002_RS12680
TU220F-146	SYNPCC7002_RS00450 // SYNPCC7002_RS00445 // SYNPCC7002_RS00440 // SYNPCC7002_RS00435
TU220F-777	SYNPCC7002_RS05225
TU220F-1595	SYNPCC7002_RS11500
TU220F-2229	SYNPCC7002_RS10945
TU220F-63	SYNPCC7002_RS15205 // SYNPCC7002_RS15200
TU220F-2077	SYNPCC7002_RS15995
TU220F-515	SYNPCC7002_RS03220
TU220F-2332	SYNPCC7002_RS07335
TU220F-344	SYNPCC7002_RS01950 // SYNPCC7002_RS01945
TU220F-507	SYNPCC7002_RS03145
TU220F-2258	SYNPCC7002_RS10040
TU220F-568	SYNPCC7002_RS03635 // SYNPCC7002_RS03630 // SYNPCC7002_RS03625 // SYNPCC7002_RS03620
TU220F-1377	SYNPCC7002_RS09830
TU220F-143	SYNPCC7002_RS00415 // SYNPCC7002_RS00410
TU220F-1992	SYNPCC7002_RS15335 // SYNPCC7002_RS15330 // SYNPCC7002_RS15325 // SYNPCC7002_RS15320 // SYNPCC7002_RS15315
TU220F-761	SYNPCC7002_RS05105
TU220F-278	SYNPCC7002_RS01430
TU220F-1723	SYNPCC7002_RS12455
TU220F-49	SYNPCC7002_RS15090 // SYNPCC7002_RS15085
TU220F-2334	SYNPCC7002_RS07295
TU220F-597	SYNPCC7002_RS03860
TU220F-2285	SYNPCC7002_RS09120
TU220F-749	SYNPCC7002_RS05010
TU220F-2181	SYNPCC7002_RS12570
TU220F-613	SYNPCC7002_RS03990 // SYNPCC7002_RS03985 // SYNPCC7002_RS03980
TU220F-499	SYNPCC7002_RS03100 // SYNPCC7002_RS03095 // SYNPCC7002_RS03090
TU220F-590	SYNPCC7002_RS03795
TU220F-351	SYNPCC7002_RS02020
TU220F-21	SYNPCC7002_RS14850
TU220F-482	SYNPCC7002_RS02975 // SYNPCC7002_RS02970
TU220F-2007	SYNPCC7002_RS15485
TU220F-2419	SYNPCC7002_RS04820
TU220F-2270	SYNPCC7002_RS09695
TU220F-1465	SYNPCC7002_RS10485
TU220F-1107	SYNPCC7002_RS07810
TU220F-2037	SYNPCC7002_RS15685
TU220F-2232	SYNPCC7002_RS10920
TU220F-1793	SYNPCC7002_RS12950
TU220F-360	SYNPCC7002_RS02095
TU220F-849	SYNPCC7002_RS05735
TU220F-25	SYNPCC7002_RS14885
TU220F-2202	SYNPCC7002_RS12080
TU220F-81	SYNPCC7002_RS14470
TU220F-1153	SYNPCC7002_RS08105
TU220F-2386	SYNPCC7002_RS05955
TU220F-318	SYNPCC7002_RS01740
TU220F-1585	SYNPCC7002_RS11400
TU220F-1016	SYNPCC7002_RS07010
TU220F-1920	SYNPCC7002_RS13850
TU220F-226	SYNPCC7002_RS01065
TU220F-2104	SYNPCC7002_RS14605
TU220F-2108	SYNPCC7002_RS14645
TU220F-2369	SYNPCC7002_RS06315
TU220F-549	SYNPCC7002_RS03485
TU220F-2018	SYNPCC7002_RS15560
TU220F-1363	SYNPCC7002_RS09740
TU220F-396	SYNPCC7002_RS02390
TU220F-736	SYNPCC7002_RS04920
TU220F-2132	SYNPCC7002_RS15345
TU220F-392	SYNPCC7002_RS02370 // SYNPCC7002_RS02365
TU220F-703	SYNPCC7002_RS04640
TU220F-1779	SYNPCC7002_RS12875
TU220F-658	SYNPCC7002_RS04310
TU220F-243	SYNPCC7002_RS01165
TU220F-85	SYNPCC7002_RS00010
TU220F-605	SYNPCC7002_RS03940
TU220F-1292	SYNPCC7002_RS09195
TU220F-1182	SYNPCC7002_RS08330
TU220F-995	SYNPCC7002_RS06855 // SYNPCC7002_RS06850
TU220F-978	SYNPCC7002_RS06735
TU220F-1423	SYNPCC7002_RS10180
TU220F-820	SYNPCC7002_RS05550
TU220F-427	SYNPCC7002_RS02650 // SYNPCC7002_RS02645
TU220F-574	SYNPCC7002_RS03690
TU220F-1726	SYNPCC7002_RS12495 // SYNPCC7002_RS12490
TU220F-787	SYNPCC7002_RS05330
TU220F-2032	SYNPCC7002_RS15660
TU220F-1393	SYNPCC7002_RS09935
TU220F-1692	SYNPCC7002_RS12225
TU220F-2184	SYNPCC7002_RS12500
TU220F-677	SYNPCC7002_RS04450
TU220F-2056	SYNPCC7002_RS15845
TU220F-1941	SYNPCC7002_RS13975
TU220F-2305	SYNPCC7002_RS08175
TU220F-1514	SYNPCC7002_RS10875 // SYNPCC7002_RS10870
TU220F-1679	SYNPCC7002_RS12140
TU220F-1601	SYNPCC7002_RS11540
TU220F-695	SYNPCC7002_RS04570 // SYNPCC7002_RS04565
TU220F-578	SYNPCC7002_RS03715
TU220F-2293	SYNPCC7002_RS08700
TU220F-2248	SYNPCC7002_RS10510
TU220F-1025	SYNPCC7002_RS07075
TU220F-2134	SYNPCC7002_RS14125
TU220F-374	SYNPCC7002_RS02225
TU220F-2017	SYNPCC7002_RS15555
TU220F-2538	SYNPCC7002_RS00580
TU220F-2001	SYNPCC7002_RS15440 // SYNPCC7002_RS15435 // SYNPCC7002_RS16845
TU220F-1781	SYNPCC7002_RS12885
TU220F-368	SYNPCC7002_RS16060 // SYNPCC7002_RS02140
TU220F-1866	SYNPCC7002_RS13455
TU220F-56	SYNPCC7002_RS15155 // SYNPCC7002_RS15150 // SYNPCC7002_RS15145
TU220F-13	SYNPCC7002_RS14775
TU220F-1174	SYNPCC7002_RS08280
TU220F-1985	SYNPCC7002_RS15265
TU220F-2206	SYNPCC7002_RS11825
TU220F-1178	SYNPCC7002_RS08300
TU220F-148	SYNPCC7002_RS00470
TU220F-1757	SYNPCC7002_RS12705
TU220F-1898	SYNPCC7002_RS13690
TU220F-801	SYNPCC7002_RS05435
TU220F-319	SYNPCC7002_RS01745
TU220F-1176	SYNPCC7002_RS08290
TU220F-1571	SYNPCC7002_RS11305 // SYNPCC7002_RS11300
TU220F-2452	SYNPCC7002_RS16070
TU220F-914	SYNPCC7002_RS06280
TU220F-346	SYNPCC7002_RS01970
TU220F-1329	SYNPCC7002_RS09500 // SYNPCC7002_RS09495
TU220F-2438	SYNPCC7002_RS04170
TU220F-477	SYNPCC7002_RS02945
TU220F-1063	SYNPCC7002_RS07400 // SYNPCC7002_RS07395
TU220F-2242	SYNPCC7002_RS10670
TU220F-478	SYNPCC7002_RS02950
TU220F-1049	SYNPCC7002_RS07310 // SYNPCC7002_RS07305
TU220F-1314	SYNPCC7002_RS09385 // SYNPCC7002_RS09380 // SYNPCC7002_RS09375 // SYNPCC7002_RS09370 // SYNPCC7002_RS09365
TU220F-1100	SYNPCC7002_RS07730
TU220F-1544	SYNPCC7002_RS11085 // SYNPCC7002_RS11080 // SYNPCC7002_RS11075 // SYNPCC7002_RS11070
TU220F-2348	SYNPCC7002_RS06940
TU220F-1755	SYNPCC7002_RS12695
TU220F-2139	SYNPCC7002_RS16770
TU220F-1646	SYNPCC7002_RS11925 // SYNPCC7002_RS11920
TU220F-2489	SYNPCC7002_RS02195
TU220F-1445	SYNPCC7002_RS10345
TU220F-1734	SYNPCC7002_RS12545
TU220F-1362	SYNPCC7002_RS09735 // SYNPCC7002_RS09730
TU220F-1959	SYNPCC7002_RS14080
TU220F-331	SYNPCC7002_RS01865 // SYNPCC7002_RS01860
TU220F-1077	SYNPCC7002_RS07505
TU220F-2321	SYNPCC7002_RS07710
TU220F-1552	SYNPCC7002_RS11130 // SYNPCC7002_RS11125
TU220F-471	SYNPCC7002_RS02905
TU220F-1536	SYNPCC7002_RS11020
TU220F-2125	SYNPCC7002_RS15750
TU220F-813	SYNPCC7002_RS05505
TU220F-1304	SYNPCC7002_RS09310
TU220F-817	SYNPCC7002_RS05530
TU220F-2140	SYNPCC7002_RS13835
TU220F-615	SYNPCC7002_RS04010 // SYNPCC7002_RS04005 // SYNPCC7002_RS04000
TU220F-136	SYNPCC7002_RS16605
TU220F-875	SYNPCC7002_RS05965
TU220F-153	SYNPCC7002_RS00510
TU220F-538	SYNPCC7002_RS03405 // SYNPCC7002_RS03400
TU220F-64	SYNPCC7002_RS14205
TU220F-582	SYNPCC7002_RS03755
TU220F-2513	SYNPCC7002_RS01400
TU220F-116	SYNPCC7002_RS00240
TU220F-1083	SYNPCC7002_RS07535
TU220F-832	SYNPCC7002_RS05635
TU220F-1003	SYNPCC7002_RS16110
TU220F-735	SYNPCC7002_RS04915 // SYNPCC7002_RS04910
TU220F-2175	SYNPCC7002_RS12755
TU220F-676	SYNPCC7002_RS04445
TU220F-1848	SYNPCC7002_RS13345
TU220F-809	SYNPCC7002_RS05480
TU220F-430	SYNPCC7002_RS16620
TU220F-1336	SYNPCC7002_RS09555
TU220F-1824	SYNPCC7002_RS16755
TU220F-1728	SYNPCC7002_RS12515
TU220F-2427	SYNPCC7002_RS04655
TU220F-1839	SYNPCC7002_RS13260
TU220F-2186	SYNPCC7002_RS12470
TU220F-987	SYNPCC7002_RS06790
TU220F-991	SYNPCC7002_RS06820 // SYNPCC7002_RS06815
TU220F-1473	SYNPCC7002_RS10560
TU220F-476	SYNPCC7002_RS02940 // SYNPCC7002_RS02935
TU220F-231	SYNPCC7002_RS01095
TU220F-2462	SYNPCC7002_RS03115
TU220F-61	SYNPCC7002_RS15185
TU220F-871	SYNPCC7002_RS05940 // SYNPCC7002_RS05935 // SYNPCC7002_RS05930
TU220F-309	SYNPCC7002_RS01665
TU220F-2309	SYNPCC7002_RS08155
TU220F-22	SYNPCC7002_RS14865 // SYNPCC7002_RS14860 // SYNPCC7002_RS14855
TU220F-1874	SYNPCC7002_RS13515 // SYNPCC7002_RS13510 // SYNPCC7002_RS13505
TU220F-37	SYNPCC7002_RS14995
TU220F-2087	SYNPCC7002_RS14510
TU220F-1522	SYNPCC7002_RS10930
TU220F-28	SYNPCC7002_RS14910 // SYNPCC7002_RS14905
TU220F-2498	SYNPCC7002_RS01800
TU220F-1499	SYNPCC7002_RS10765 // SYNPCC7002_RS10760
TU220F-1274	SYNPCC7002_RS09040
TU220F-1183	SYNPCC7002_RS08335
TU220F-748	SYNPCC7002_RS04995
TU220F-1890	SYNPCC7002_RS13625
TU220F-1761	SYNPCC7002_RS12735
TU220F-2147	SYNPCC7002_RS13715
TU220F-589	SYNPCC7002_RS16630 // SYNPCC7002_RS03790
TU220F-2252	SYNPCC7002_RS10400
TU220F-229	SYNPCC7002_RS01085
TU220F-640	SYNPCC7002_RS04195 // SYNPCC7002_RS04190 // SYNPCC7002_RS16645
TU220F-1907	SYNPCC7002_RS13750
TU220F-1456	SYNPCC7002_RS10420
TU220F-2194	SYNPCC7002_RS12355
TU220F-619	SYNPCC7002_RS04030
TU220F-2402	SYNPCC7002_RS05380
TU220F-1296	SYNPCC7002_RS09225
TU220F-2269	SYNPCC7002_RS09715
TU220F-1675	SYNPCC7002_RS16730
TU220F-2059	SYNPCC7002_RS15860
TU220F-1233	SYNPCC7002_RS08715
TU220F-1903	SYNPCC7002_RS13725
TU220F-1328	SYNPCC7002_RS09490
TU220F-867	SYNPCC7002_RS05895
TU220F-1986	SYNPCC7002_RS15270
TU220F-1430	SYNPCC7002_RS10235
TU220F-316	SYNPCC7002_RS01720
TU220F-2137	SYNPCC7002_RS13925
TU220F-1573	SYNPCC7002_RS11315
TU220F-1079	SYNPCC7002_RS07515
TU220F-176	SYNPCC7002_RS00690
TU220F-1361	SYNPCC7002_RS09725
TU220F-1932	SYNPCC7002_RS13910
TU220F-548	SYNPCC7002_RS03480
TU220F-1919	SYNPCC7002_RS16775
TU220F-2038	SYNPCC7002_RS15690
TU220F-2508	SYNPCC7002_RS01605
TU220F-2352	SYNPCC7002_RS06880
TU220F-332	SYNPCC7002_RS01870
TU220F-1235	SYNPCC7002_RS08725
TU220F-1414	SYNPCC7002_RS16710
TU220F-2016	SYNPCC7002_RS15550
TU220F-1507	SYNPCC7002_RS10825
TU220F-977	SYNPCC7002_RS06730
TU220F-1518	SYNPCC7002_RS10905
TU220F-1894	SYNPCC7002_RS13655 // SYNPCC7002_RS13650
TU220F-1620	SYNPCC7002_RS11710
TU220F-1392	SYNPCC7002_RS09930
TU220F-657	SYNPCC7002_RS04305 // SYNPCC7002_RS04300 // SYNPCC7002_RS04295
TU220F-1015	SYNPCC7002_RS07000
TU220F-821	SYNPCC7002_RS05555
TU220F-786	SYNPCC7002_RS05325
TU220F-1705	SYNPCC7002_RS12300
TU220F-347	SYNPCC7002_RS01985 // SYNPCC7002_RS01980 // SYNPCC7002_RS01975
TU220F-1327	SYNPCC7002_RS09485
TU220F-969	SYNPCC7002_RS06660
TU220F-675	SYNPCC7002_RS04440
TU220F-1613	SYNPCC7002_RS11635
TU220F-2410	SYNPCC7002_RS05020
TU220F-835	SYNPCC7002_RS05655
TU220F-182	SYNPCC7002_RS00730
TU220F-734	SYNPCC7002_RS04895
TU220F-649	SYNPCC7002_RS04250
TU220F-2479	SYNPCC7002_RS02400
TU220F-2113	SYNPCC7002_RS14255
TU220F-391	SYNPCC7002_RS02360
TU220F-1683	SYNPCC7002_RS12165
TU220F-150	SYNPCC7002_RS00490
TU220F-520	SYNPCC7002_RS03245
TU220F-2129	SYNPCC7002_RS15410
TU220F-560	SYNPCC7002_RS03575 // SYNPCC7002_RS03570
TU220F-1137	SYNPCC7002_RS08000
TU220F-65	SYNPCC7002_RS14210
TU220F-711	SYNPCC7002_RS04710
TU220F-1911	SYNPCC7002_RS13780 // SYNPCC7002_RS13775
TU220F-632	SYNPCC7002_RS04110
TU220F-1661	SYNPCC7002_RS12025
TU220F-1899	SYNPCC7002_RS13695
TU220F-962	SYNPCC7002_RS06605
TU220F-1576	SYNPCC7002_RS11340
TU220F-408	SYNPCC7002_RS02490
TU220F-503	SYNPCC7002_RS03125
TU220F-190	SYNPCC7002_RS00775
TU220F-800	SYNPCC7002_RS05430
TU220F-165	SYNPCC7002_RS00600
TU220F-1882	SYNPCC7002_RS13555
TU220F-1172	SYNPCC7002_RS08265
TU220F-1659	SYNPCC7002_RS12010
TU220F-1484	SYNPCC7002_RS10640
TU220F-1731	SYNPCC7002_RS16740
TU220F-2360	SYNPCC7002_RS06495
TU220F-412	SYNPCC7002_RS02540
TU220F-40	SYNPCC7002_RS15015
TU220F-646	SYNPCC7002_RS04235
TU220F-327	SYNPCC7002_RS01840
TU220F-530	SYNPCC7002_RS03330 // SYNPCC7002_RS03325 // SYNPCC7002_RS03320
TU220F-958	SYNPCC7002_RS06580 // SYNPCC7002_RS06575 // SYNPCC7002_RS06570
TU220F-1007	SYNPCC7002_RS06955
TU220F-180	SYNPCC7002_RS00720 // SYNPCC7002_RS00715
TU220F-1062	SYNPCC7002_RS07390
TU220F-1954	SYNPCC7002_RS14055
TU220F-636	SYNPCC7002_RS04140 // SYNPCC7002_RS04135
TU220F-1071	SYNPCC7002_RS07460
TU220F-699	SYNPCC7002_RS04600 // SYNPCC7002_RS04595
TU220F-1048	SYNPCC7002_RS07300
TU220F-62	SYNPCC7002_RS15190
